feature_id,ensembl_id,gene_symbol
ENSG00000000003,ENSG00000000003,TSPAN6
ENSG00000000419,ENSG00000000419,DPM1
ENSG00000000457,ENSG00000000457,SCYL3
ENSG00000000938,ENSG00000000938,FGR
ENSG00000000971,ENSG00000000971,CFH
ENSG00000001036,ENSG00000001036,FUCA2
ENSG00000001084,ENSG00000001084,GCLC
ENSG00000001167,ENSG00000001167,NFYA
ENSG00000001460,ENSG00000001460,STPG1
ENSG00000001461,ENSG00000001461,NIPAL3
ENSG00000001497,ENSG00000001497,LAS1L
ENSG00000001561,ENSG00000001561,ENPP4
ENSG00000001617,ENSG00000001617,SEMA3F
ENSG00000001629,ENSG00000001629,ANKIB1
ENSG00000001630,ENSG00000001630,CYP51A1
ENSG00000001631,ENSG00000001631,KRIT1
ENSG00000002016,ENSG00000002016,RAD52
ENSG00000002330,ENSG00000002330,BAD
ENSG00000002549,ENSG00000002549,LAP3
ENSG00000002587,ENSG00000002587,HS3ST1
ENSG00000002726,ENSG00000002726,AOC1
ENSG00000002746,ENSG00000002746,HECW1
ENSG00000002822,ENSG00000002822,MAD1L1
ENSG00000002834,ENSG00000002834,LASP1
ENSG00000002919,ENSG00000002919,SNX11
ENSG00000002933,ENSG00000002933,TMEM176A
ENSG00000003056,ENSG00000003056,M6PR
ENSG00000003096,ENSG00000003096,KLHL13
ENSG00000003137,ENSG00000003137,CYP26B1
ENSG00000003147,ENSG00000003147,ICA1
ENSG00000003249,ENSG00000003249,DBNDD1
ENSG00000003393,ENSG00000003393,ALS2
ENSG00000003400,ENSG00000003400,CASP10
ENSG00000003402,ENSG00000003402,CFLAR
ENSG00000003436,ENSG00000003436,TFPI
ENSG00000003509,ENSG00000003509,NDUFAF7
ENSG00000003756,ENSG00000003756,RBM5
ENSG00000003989,ENSG00000003989,SLC7A2
ENSG00000004059,ENSG00000004059,ARF5
ENSG00000004139,ENSG00000004139,SARM1
ENSG00000004142,ENSG00000004142,POLDIP2
ENSG00000004399,ENSG00000004399,PLXND1
ENSG00000004455,ENSG00000004455,AK2
ENSG00000004468,ENSG00000004468,CD38
ENSG00000004478,ENSG00000004478,FKBP4
ENSG00000004487,ENSG00000004487,KDM1A
ENSG00000004534,ENSG00000004534,RBM6
ENSG00000004660,ENSG00000004660,CAMKK1
ENSG00000004700,ENSG00000004700,RECQL
ENSG00000004766,ENSG00000004766,VPS50
ENSG00000004776,ENSG00000004776,HSPB6
ENSG00000004777,ENSG00000004777,ARHGAP33
ENSG00000004779,ENSG00000004779,NDUFAB1
ENSG00000004809,ENSG00000004809,SLC22A16
ENSG00000004838,ENSG00000004838,ZMYND10
ENSG00000004864,ENSG00000004864,SLC25A13
ENSG00000004866,ENSG00000004866,ST7
ENSG00000004897,ENSG00000004897,CDC27
ENSG00000004961,ENSG00000004961,HCCS
ENSG00000004975,ENSG00000004975,DVL2
ENSG00000005007,ENSG00000005007,UPF1
ENSG00000005020,ENSG00000005020,SKAP2
ENSG00000005022,ENSG00000005022,SLC25A5
ENSG00000005059,ENSG00000005059,MCUB
ENSG00000005075,ENSG00000005075,POLR2J
ENSG00000005100,ENSG00000005100,DHX33
ENSG00000005108,ENSG00000005108,THSD7A
ENSG00000005156,ENSG00000005156,LIG3
ENSG00000005175,ENSG00000005175,RPAP3
ENSG00000005187,ENSG00000005187,ACSM3
ENSG00000005189,ENSG00000005189,REXO5
ENSG00000005194,ENSG00000005194,CIAPIN1
ENSG00000005206,ENSG00000005206,SPPL2B
ENSG00000005238,ENSG00000005238,ATOSB
ENSG00000005243,ENSG00000005243,COPZ2
ENSG00000005249,ENSG00000005249,PRKAR2B
ENSG00000005302,ENSG00000005302,MSL3
ENSG00000005339,ENSG00000005339,CREBBP
ENSG00000005379,ENSG00000005379,TSPOAP1
ENSG00000005436,ENSG00000005436,GCFC2
ENSG00000005448,ENSG00000005448,WDR54
ENSG00000005469,ENSG00000005469,CROT
ENSG00000005471,ENSG00000005471,ABCB4
ENSG00000005483,ENSG00000005483,KMT2E
ENSG00000005486,ENSG00000005486,RHBDD2
ENSG00000005513,ENSG00000005513,SOX8
ENSG00000005700,ENSG00000005700,IBTK
ENSG00000005801,ENSG00000005801,ZNF195
ENSG00000005810,ENSG00000005810,MYCBP2
ENSG00000005812,ENSG00000005812,FBXL3
ENSG00000005844,ENSG00000005844,ITGAL
ENSG00000005882,ENSG00000005882,PDK2
ENSG00000005884,ENSG00000005884,ITGA3
ENSG00000005889,ENSG00000005889,ZFX
ENSG00000005893,ENSG00000005893,LAMP2
ENSG00000005961,ENSG00000005961,ITGA2B
ENSG00000006007,ENSG00000006007,GDE1
ENSG00000006015,ENSG00000006015,REX1BD
ENSG00000006016,ENSG00000006016,CRLF1
ENSG00000006025,ENSG00000006025,OSBPL7
ENSG00000006042,ENSG00000006042,TMEM98
ENSG00000006047,ENSG00000006047,YBX2
ENSG00000006062,ENSG00000006062,MAP3K14
ENSG00000006118,ENSG00000006118,TMEM132A
ENSG00000006125,ENSG00000006125,AP2B1
