source,outcome_pair,reference,primary,metric,target_mean_statistic,within_draw_mean,within_draw_p025,within_draw_p975,target_count,draw_count,target_mean_aggregation,within_draw_aggregation,interval_type
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,rho_T,0.7254901960784315,0.5478200925305101,0.17622330633439962,0.8000812084672202,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,rho_G,0.7843137254901962,0.5882126141917541,0.3348559883613257,0.8424930670751852,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,delta_rho,0.05882352941176472,0.04039252166124391,-0.28082118702287173,0.3500298190154549,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,coverage_auc_T,0.7990139545971617,0.7739098030807859,0.6403146736646548,0.8584300411073091,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,coverage_auc_G,0.8005600404047366,0.7871752576723204,0.6857011238578199,0.8664959660227557,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,delta_coverage_auc,0.0015460858075748707,0.013265454591534552,-0.04656955967847511,0.11563562420524741,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,random_order_expected_auc,0.6439522058823529,0.6439522058823529,0.5410386029411764,0.7528033088235294,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,rho_T,0.7401960784313727,0.5515078082447209,0.18295192166827923,0.8100673569629807,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,rho_G,0.7671568627450982,0.5881589670918248,0.33691714769887815,0.8172967947690277,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,delta_rho,0.026960784313725505,0.03665115884710397,-0.3209507537582982,0.37472418422335596,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,coverage_auc_T,0.7996086944161663,0.7752505255859158,0.6418389851157409,0.8607096083770431,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,coverage_auc_G,0.8000157914551567,0.7860229492236885,0.68088618006999,0.8634852150369695,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,delta_coverage_auc,0.0004070970389903339,0.01077242363777291,-0.07146370728689189,0.09641269754550995,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,random_order_expected_auc,0.6439522058823529,0.6439522058823529,0.5410386029411764,0.7528033088235294,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,rho_T,0.6102941176470589,0.6063616397545666,0.40500096332365654,0.8221378781679749,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,rho_G,0.7148989694418941,0.5915284194141728,0.3342939369210297,0.8334314002356712,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,delta_rho,0.10460485179483525,-0.01483322034039379,-0.2991541613790913,0.2609199240733002,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,coverage_auc_T,0.8107332894902098,0.7981916258714551,0.7308401284537173,0.8626890246491781,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,coverage_auc_G,0.813907318535103,0.7934683332199688,0.7194706471148338,0.8634398794230987,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,delta_coverage_auc,0.0031740290448931674,-0.004723292651486587,-0.06561200518231777,0.04940429850097821,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,same_identity_disjoint_cells,False,random_order_expected_auc,0.648952205882353,0.6489522058823529,0.5420955882352941,0.7410845588235293,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,rho_T,0.5882352941176472,0.5917403527654169,0.3458651117417069,0.8099614283761948,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,rho_G,0.698529411764706,0.5825315051169706,0.3522427310014003,0.7901739824452286,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,delta_rho,0.11029411764705876,-0.009208847648446419,-0.2686409273903905,0.2678395615539198,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,coverage_auc_T,0.8089489949958971,0.7936112930617337,0.7071535437204027,0.8629891204985481,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,coverage_auc_G,0.8133209360654483,0.792101443066107,0.7054225473215389,0.8589325110255649,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,delta_coverage_auc,0.0043719410695511884,-0.0015098499956266531,-0.056812775918933994,0.06477841277645978,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
