source,outcome_pair,reference,primary,predictor,coverage_k,gallery_K,outcome_mean,uniform_order_expectation
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,T,1,17,1.0,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,T,2,17,0.9259375000000001,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,T,3,17,0.9034375,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,T,4,17,0.9126562500000001,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,T,5,17,0.9193125,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,T,6,17,0.9210937499999999,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,T,7,17,0.8660714285714286,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,T,8,17,0.8278125000000001,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,T,9,17,0.7930208333333334,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,T,10,17,0.7548125,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,T,11,17,0.7292897727272727,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,T,12,17,0.7041666666666666,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,T,13,17,0.6866105769230769,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,T,14,17,0.6750892857142857,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,T,15,17,0.6658333333333334,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,T,16,17,0.654140625,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,T,17,17,0.6439522058823529,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,G,1,17,1.0,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,G,2,17,0.9259375000000001,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,G,3,17,0.9326041666666667,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,G,4,17,0.9140625,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,G,5,17,0.9193125,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,G,6,17,0.9210937499999999,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,G,7,17,0.8579017857142857,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,G,8,17,0.815,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,G,9,17,0.7866666666666666,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,G,10,17,0.75078125,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,G,11,17,0.73125,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,G,12,17,0.715,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,G,13,17,0.6969951923076922,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,G,14,17,0.6812053571428571,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,G,15,17,0.6631874999999999,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,G,16,17,0.6545703125,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,G,17,17,0.6439522058823529,0.6439522058823529
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,T,1,17,1.0,0.6439522058823529
