source,outcome_pair,reference,primary,target,T,G,V
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,ATF2,0.47,0.48375,0.4809375
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,CAV1,0.63375,0.60625,0.56
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,CD86,0.5325,0.503125,0.53625
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,CMTM6,0.5415625,0.4671875,0.4759375
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,ETV7,0.623125,0.6321875,0.5146875
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,IFNGR1,0.9153125,0.89125,0.93
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,IFNGR2,0.949375,0.960625,0.9459375
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,IRF1,0.9575,0.955,0.8584375
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,JAK2,0.95,0.9459375,0.9403125
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,MARCH8,0.4778125,0.6684375,0.47875
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,NFKBIA,0.54,0.4009375,0.5253125
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,PDCD1LG2,0.6759375,0.5275,0.5359375
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,SMAD4,1.0,1.0,1.0
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,STAT2,0.9903125,0.986875,0.851875
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,STAT3,0.58375,0.3359375,0.4740625
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,STAT5A,0.5853125,0.455,0.4109375
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,same_identity_disjoint_cells,True,TNFRSF14,0.55875,0.5278125,0.4278125
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,ATF2,0.4478125,0.4821875,0.4809375
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,CAV1,0.648125,0.606875,0.56
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,CD86,0.50125,0.476875,0.53625
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,CMTM6,0.51375,0.4353125,0.4759375
papalexi2021_rep1,papalexi2021_rep2__papalexi2021_rep3,different_guide_identities,False,ETV7,0.6328125,0.6365625,0.5146875
