experiment,source,readout,K,n_target_direction_draw_rows,n_rows_with_overlap,fraction_rows_with_overlap,min_shared,max_shared,mean_shared,min_start,max_start,unique_start_cells
cite_6tf,GSE335887,GF_V1_6L,24,4800,3972,0.8275,0,7,1.6533333333333333,18,32,411
cite_6tf,GSE335887,GF_V1_12L,24,4800,3972,0.8275,0,7,1.6533333333333333,18,32,411
cite_6tf,GSE335887,GF_V2_CLS,24,4800,4107,0.855625,0,9,1.7995833333333333,22,32,433
cite_6tf,GSE335887,GF_V2_mean,24,4800,4107,0.855625,0,9,1.7995833333333333,22,32,433
crop_6tf,GSE335887,GF_V1_6L,21,4200,3115,0.7416666666666667,0,6,1.3035714285714286,8,32,419
crop_6tf,GSE335887,GF_V1_12L,21,4200,3115,0.7416666666666667,0,6,1.3035714285714286,8,32,419
crop_6tf,GSE335887,GF_V2_CLS,26,5200,3970,0.7634615384615384,0,8,1.3634615384615385,13,32,493
crop_6tf,GSE335887,GF_V2_mean,26,5200,3970,0.7634615384615384,0,8,1.3634615384615385,13,32,493
cite_imgl,GSE335887,GF_V1_6L,17,3400,2670,0.7852941176470588,0,7,1.5408823529411764,10,32,336
cite_imgl,GSE335887,GF_V1_12L,17,3400,2670,0.7852941176470588,0,7,1.5408823529411764,10,32,336
cite_imgl,GSE335887,GF_V2_CLS,17,3400,2672,0.7858823529411765,0,7,1.5258823529411765,10,32,342
cite_imgl,GSE335887,GF_V2_mean,17,3400,2672,0.7858823529411765,0,7,1.5258823529411765,10,32,342
microglia_pool,GSE178317,GF_V1_6L,23,4600,3976,0.8643478260869565,0,7,1.9873913043478262,13,32,357
microglia_pool,GSE178317,GF_V1_12L,23,4600,3976,0.8643478260869565,0,7,1.9873913043478262,13,32,357
microglia_pool,GSE178317,GF_V2_CLS,26,5200,4638,0.8919230769230769,0,7,2.147692307692308,8,32,383
microglia_pool,GSE178317,GF_V2_mean,26,5200,4638,0.8919230769230769,0,7,2.147692307692308,8,32,383
ag07657_pool,GSE311359,GF_V1_6L,10,2000,1346,0.673,0,5,1.0125,32,32,265
ag07657_pool,GSE311359,GF_V1_12L,10,2000,1346,0.673,0,5,1.0125,32,32,265
ag07657_pool,GSE311359,GF_V2_CLS,10,2000,1333,0.6665,0,5,0.995,32,32,267
ag07657_pool,GSE311359,GF_V2_mean,10,2000,1333,0.6665,0,5,0.995,32,32,267
