version,experiment,source,readout,target,K,n_start,n_reference,n_shared_start_reference,n_shared_start_treated,n_shared_start_original_all_control,score_matrix
old_query_excluded,cite_6tf,GSE335887,GF_V1_6L,ARID2,28,32,545,0,0,32,strengthening_v2/embedding_calibration/GSE335887/6L_cite_6tf/preds_score_matrix.npz
old_query_excluded,cite_6tf,GSE335887,GF_V1_6L,ARID5B,28,32,545,0,0,32,strengthening_v2/embedding_calibration/GSE335887/6L_cite_6tf/preds_score_matrix.npz
old_query_excluded,cite_6tf,GSE335887,GF_V1_6L,ATMIN,28,32,545,0,0,32,strengthening_v2/embedding_calibration/GSE335887/6L_cite_6tf/preds_score_matrix.npz
old_query_excluded,cite_6tf,GSE335887,GF_V1_6L,BHLHE40,28,32,545,0,0,32,strengthening_v2/embedding_calibration/GSE335887/6L_cite_6tf/preds_score_matrix.npz
old_query_excluded,cite_6tf,GSE335887,GF_V1_6L,BHLHE41,28,18,559,0,0,18,strengthening_v2/embedding_calibration/GSE335887/6L_cite_6tf/preds_score_matrix.npz
old_query_excluded,cite_6tf,GSE335887,GF_V1_6L,BPTF,28,32,545,0,0,32,strengthening_v2/embedding_calibration/GSE335887/6L_cite_6tf/preds_score_matrix.npz
old_query_excluded,cite_6tf,GSE335887,GF_V1_6L,CEBPD,28,32,545,0,0,32,strengthening_v2/embedding_calibration/GSE335887/6L_cite_6tf/preds_score_matrix.npz
old_query_excluded,cite_6tf,GSE335887,GF_V1_6L,CNOT10,28,32,545,0,0,32,strengthening_v2/embedding_calibration/GSE335887/6L_cite_6tf/preds_score_matrix.npz
old_query_excluded,cite_6tf,GSE335887,GF_V1_6L,DEAF1,28,32,545,0,0,32,strengthening_v2/embedding_calibration/GSE335887/6L_cite_6tf/preds_score_matrix.npz
old_query_excluded,cite_6tf,GSE335887,GF_V1_6L,DNMT1,28,32,545,0,0,32,strengthening_v2/embedding_calibration/GSE335887/6L_cite_6tf/preds_score_matrix.npz
old_query_excluded,cite_6tf,GSE335887,GF_V1_6L,FOXK1,28,32,545,0,0,32,strengthening_v2/embedding_calibration/GSE335887/6L_cite_6tf/preds_score_matrix.npz
old_query_excluded,cite_6tf,GSE335887,GF_V1_6L,IRF9,28,32,545,0,0,32,strengthening_v2/embedding_calibration/GSE335887/6L_cite_6tf/preds_score_matrix.npz
old_query_excluded,cite_6tf,GSE335887,GF_V1_6L,MAF,28,32,545,0,0,32,strengthening_v2/embedding_calibration/GSE335887/6L_cite_6tf/preds_score_matrix.npz
