experiment,target,K,n_start,n_start_guides,n_native_reserve,n_PCA,n_reference_pool,n_start_reference_overlap,n_start_PCA_overlap,n_start_treated_overlap
papalexi2021_rep1,CMTM6,10,16,2,149,140,431,0,0,0
papalexi2021_rep1,ETV7,10,16,2,149,140,431,0,0,0
papalexi2021_rep1,IFNGR1,10,16,2,149,140,431,0,0,0
papalexi2021_rep1,IFNGR2,10,16,2,149,140,431,0,0,0
papalexi2021_rep1,IRF1,10,16,2,149,140,431,0,0,0
papalexi2021_rep1,JAK2,10,16,2,149,140,431,0,0,0
papalexi2021_rep1,NFKBIA,10,16,2,149,140,431,0,0,0
papalexi2021_rep1,STAT2,10,16,2,149,140,431,0,0,0
papalexi2021_rep1,STAT3,10,16,2,149,140,431,0,0,0
papalexi2021_rep1,TNFRSF14,10,16,2,149,140,431,0,0,0
papalexi2021_rep2,CMTM6,10,16,2,145,140,327,0,0,0
papalexi2021_rep2,ETV7,10,16,2,145,140,327,0,0,0
papalexi2021_rep2,IFNGR1,10,16,2,145,140,327,0,0,0
papalexi2021_rep2,IFNGR2,10,16,2,145,140,327,0,0,0
papalexi2021_rep2,IRF1,10,16,2,145,140,327,0,0,0
papalexi2021_rep2,JAK2,10,16,2,145,140,327,0,0,0
papalexi2021_rep2,NFKBIA,10,16,2,145,140,327,0,0,0
papalexi2021_rep2,STAT2,10,16,2,145,140,327,0,0,0
papalexi2021_rep2,STAT3,10,16,2,145,140,327,0,0,0
papalexi2021_rep2,TNFRSF14,10,16,2,145,140,327,0,0,0
papalexi2021_rep3,CMTM6,10,16,2,157,140,379,0,0,0
papalexi2021_rep3,ETV7,10,16,2,157,140,379,0,0,0
papalexi2021_rep3,IFNGR1,10,16,2,157,140,379,0,0,0
papalexi2021_rep3,IFNGR2,10,16,2,157,140,379,0,0,0
papalexi2021_rep3,IRF1,10,16,2,157,140,379,0,0,0
papalexi2021_rep3,JAK2,10,16,2,157,140,379,0,0,0
papalexi2021_rep3,NFKBIA,10,16,2,157,140,379,0,0,0
papalexi2021_rep3,STAT2,10,16,2,157,140,379,0,0,0
papalexi2021_rep3,STAT3,10,16,2,157,140,379,0,0,0
papalexi2021_rep3,TNFRSF14,10,16,2,157,140,379,0,0,0
