experiment,readout,old_K,current_K,intersection,old_only,current_only
cite_6tf,GF_V1_6L,28,24,24,ATMIN;CEBPD;FOXK1;MEF2D,
cite_6tf,GF_V1_12L,28,24,24,ATMIN;CEBPD;FOXK1;MEF2D,
crop_6tf,GF_V1_6L,25,21,21,ATMIN;CEBPD;FOXK1;MEF2D,
crop_6tf,GF_V1_12L,25,21,21,ATMIN;CEBPD;FOXK1;MEF2D,
cite_imgl,GF_V1_6L,24,17,17,ATMIN;BHLHE41;BPTF;CNOT10;DEAF1;FOXK1;MEF2D,
cite_imgl,GF_V1_12L,24,17,17,ATMIN;BHLHE41;BPTF;CNOT10;DEAF1;FOXK1;MEF2D,
microglia_pool,GF_V1_6L,31,23,23,AURKB;CDK12;CSF1R;DBF4;DCPS;MED1;NDUFS5;TGFBR1,
microglia_pool,GF_V1_12L,31,23,23,AURKB;CDK12;CSF1R;DBF4;DCPS;MED1;NDUFS5;TGFBR1,
microglia_pool,GF_V2_CLS,34,26,26,AURKB;CDK12;CSF1R;DBF4;DCPS;MED1;NDUFS5;TGFBR1,
microglia_pool,GF_V2_mean,34,26,26,AURKB;CDK12;CSF1R;DBF4;DCPS;MED1;NDUFS5;TGFBR1,
ag07657_pool,GF_V1_6L,10,10,10,,
ag07657_pool,GF_V1_12L,10,10,10,,
ag07657_pool,GF_V2_CLS,10,10,10,,
ag07657_pool,GF_V2_mean,10,10,10,,
